Model,LOOCV R2,LOOCV MAE,LOOCV RMSE
"SVR (RBF, C=5.0, eps=0.1, g=0.1)",0.5358164272167574,1.2308737748039689,1.5402322971566222
"SVR (RBF, C=5.0, eps=0.05, g=0.1)",0.535512194824459,1.2314551440201436,1.5407369593519376
"SVR (RBF, C=10.0, eps=0.2, g=0.05)",0.4245055923817671,1.3582120006590381,1.7149912013721287
"SVR (RBF, C=10.0, eps=0.1, g=0.05)",0.40694920945126967,1.3915210718494064,1.7409539630497006
"SVR (RBF, C=10.0, eps=0.05, g=0.05)",0.397623604488081,1.4064951378302164,1.7545886477327468
"SVR (RBF, C=1.0, eps=0.2, g=scale)",0.2414921320482799,1.6132334581898506,1.9688897018729625
"SVR (RBF, C=1.0, eps=0.2, g=auto)",0.2414921320482799,1.6132334581898506,1.9688897018729625
"SVR (RBF, C=1.0, eps=0.1, g=auto)",0.23375479865199944,1.6136273414734532,1.9789062779773596
"SVR (RBF, C=1.0, eps=0.1, g=scale)",0.23375479865199922,1.6136273414734534,1.9789062779773599
"SVR (RBF, C=1.0, eps=0.05, g=auto)",0.22767059422374836,1.6165072271185177,1.986747282621791
"SVR (RBF, C=1.0, eps=0.05, g=scale)",0.22767059422374702,1.6165072271185184,1.9867472826217927
"SVR (RBF, C=5.0, eps=0.2, g=0.05)",0.1325935327816712,1.7417341795406438,2.1054875141436753
"SVR (RBF, C=5.0, eps=0.1, g=0.05)",0.11718967522906332,1.7595589284259274,2.1241004174173104
"SVR (RBF, C=5.0, eps=0.05, g=0.05)",0.10961391317941227,1.768073195688811,2.133194842273388
"SVR (RBF, C=1.0, eps=0.2, g=0.1)",0.06533702636073602,1.749210409854948,2.185590839355449
"SVR (RBF, C=1.0, eps=0.1, g=0.1)",0.03324542415547416,1.7865828647164592,2.222795252758677
"SVR (RBF, C=1.0, eps=0.05, g=0.1)",0.010957371672327132,1.8129769124987614,2.248271978166631
"SVR (RBF, C=1.0, eps=0.2, g=0.05)",-0.06185875221295989,1.8621130784967914,2.3295643841463627
"SVR (RBF, C=1.0, eps=0.1, g=0.05)",-0.12216189293980628,1.9216819292103808,2.3947991796363555
"SVR (RBF, C=1.0, eps=0.05, g=0.05)",-0.14574442865579718,1.944029564652442,2.419832021721565
