Kernel,Init Length,Alpha,Train R2,LOOCV R2,LOOCV MAE,LOOCV RMSE,Optimized Kernel
Matern_2.5,1.0,0.001,0.9964730547362433,0.9015490238750675,0.5933603588663232,0.7093349449687973,"17.7**2 * Matern(length_scale=8.04, nu=2.5)"
Matern_2.5,0.5,0.001,0.9964730547362433,0.9015490173176203,0.5933603934293386,0.7093349685918563,"17.7**2 * Matern(length_scale=8.04, nu=2.5)"
Matern_2.5,2.0,0.001,0.9964730547362433,0.9015490013403074,0.5933604768738144,0.7093350261497695,"17.7**2 * Matern(length_scale=8.04, nu=2.5)"
Matern_2.5,0.1,0.001,0.9964730547362433,0.9015489967452144,0.5933605032317788,0.7093350427034888,"17.7**2 * Matern(length_scale=8.04, nu=2.5)"
Matern_2.5,20.0,0.001,0.9964730547362433,0.9015489967452144,0.5933605032317788,0.7093350427034888,"17.7**2 * Matern(length_scale=8.04, nu=2.5)"
Matern_2.5,10.0,0.001,0.9964730547362433,0.9015489967452144,0.5933605032317788,0.7093350427034888,"17.7**2 * Matern(length_scale=8.04, nu=2.5)"
Matern_2.5,5.0,0.001,0.9964730547362433,0.9015489967452144,0.5933605032317788,0.7093350427034888,"17.7**2 * Matern(length_scale=8.04, nu=2.5)"
Matern_2.5,20.0,0.01,0.9964625430427859,0.9001044832278907,0.5972483651875278,0.7145199206989941,"17.7**2 * Matern(length_scale=8.04, nu=2.5)"
Matern_2.5,0.1,0.01,0.9964625430427859,0.9001044832278907,0.5972483651875278,0.7145199206989941,"17.7**2 * Matern(length_scale=8.04, nu=2.5)"
Matern_2.5,5.0,0.01,0.9964625430427859,0.9001044832278907,0.5972483651875278,0.7145199206989941,"17.7**2 * Matern(length_scale=8.04, nu=2.5)"
Matern_2.5,10.0,0.01,0.9964625430427859,0.9001044832278907,0.5972483651875278,0.7145199206989941,"17.7**2 * Matern(length_scale=8.04, nu=2.5)"
Matern_2.5,1.0,0.01,0.9964625430427859,0.9001044821613099,0.5972483717949552,0.7145199245134457,"17.7**2 * Matern(length_scale=8.04, nu=2.5)"
Matern_2.5,2.0,0.01,0.9964625430427859,0.9001044701462771,0.5972483963277503,0.7145199674832418,"17.7**2 * Matern(length_scale=8.04, nu=2.5)"
Matern_2.5,0.5,0.01,0.9964625430427859,0.9001044625883676,0.597248418862966,0.7145199945128653,"17.7**2 * Matern(length_scale=8.04, nu=2.5)"
Matern_2.5,1.0,0.05,0.9962423297057046,0.8938735406227879,0.612550443050531,0.7364668110840769,"17.7**2 * Matern(length_scale=8.05, nu=2.5)"
Matern_2.5,5.0,0.05,0.9962423297057046,0.8938735394362867,0.6125504486327742,0.7364668152009521,"17.7**2 * Matern(length_scale=8.05, nu=2.5)"
Matern_2.5,10.0,0.05,0.9962423297057046,0.8938735388544966,0.6125504496473129,0.7364668172196244,"17.7**2 * Matern(length_scale=8.05, nu=2.5)"
Matern_2.5,20.0,0.05,0.9962423297057046,0.8938735388544966,0.6125504496473129,0.7364668172196244,"17.7**2 * Matern(length_scale=8.05, nu=2.5)"
Matern_2.5,0.1,0.05,0.9962423297057046,0.8938735388544966,0.6125504496473129,0.7364668172196244,"17.7**2 * Matern(length_scale=8.05, nu=2.5)"
Matern_2.5,2.0,0.05,0.9962423297057046,0.8938735388058343,0.6125504496743122,0.7364668173884709,"17.7**2 * Matern(length_scale=8.05, nu=2.5)"
Matern_2.5,0.5,0.05,0.9962423297057046,0.8938735384268119,0.6125504518414686,0.7364668187035878,"17.7**2 * Matern(length_scale=8.05, nu=2.5)"
Matern_2.5,0.1,0.1,0.9956706238771408,0.8866993124143897,0.6317752010019761,0.7609526173188917,"17.6**2 * Matern(length_scale=8.06, nu=2.5)"
Matern_2.5,20.0,0.1,0.9956706238771408,0.8866993124143897,0.6317752010019761,0.7609526173188917,"17.6**2 * Matern(length_scale=8.06, nu=2.5)"
Matern_2.5,10.0,0.1,0.9956706238771408,0.8866993124143897,0.6317752010019761,0.7609526173188917,"17.6**2 * Matern(length_scale=8.06, nu=2.5)"
Matern_2.5,1.0,0.1,0.9956706238771408,0.8866993123334064,0.6317752018676173,0.7609526175908427,"17.6**2 * Matern(length_scale=8.06, nu=2.5)"
Matern_2.5,2.0,0.1,0.9956706238771408,0.8866993120479036,0.6317752030574622,0.7609526185495928,"17.6**2 * Matern(length_scale=8.06, nu=2.5)"
Matern_2.5,0.5,0.1,0.9956706238771408,0.8866993117849475,0.6317752028575249,0.7609526194326286,"17.6**2 * Matern(length_scale=8.06, nu=2.5)"
Matern_2.5,5.0,0.1,0.9956706240290583,0.8866993112111125,0.6317752040025324,0.7609526213596306,"17.6**2 * Matern(length_scale=8.06, nu=2.5)"
RBF,0.5,0.2,0.9912063437881902,0.8822672689127721,0.631083829042162,0.7756931418394244,15.8**2 * RBF(length_scale=4.95)
RBF,5.0,0.2,0.9912063437881902,0.8822672653065622,0.6310838451982822,0.7756931537193501,15.8**2 * RBF(length_scale=4.95)
RBF,2.0,0.2,0.9912063437881902,0.8822672635712703,0.6310838441974732,0.7756931594359168,15.8**2 * RBF(length_scale=4.95)
RBF,10.0,0.2,0.9912063437881902,0.8822672635341335,0.6310838503418736,0.7756931595582562,15.8**2 * RBF(length_scale=4.95)
RBF,20.0,0.2,0.9912063437881902,0.8822672635341335,0.6310838503418736,0.7756931595582562,15.8**2 * RBF(length_scale=4.95)
RBF,0.1,0.2,0.9912063437881902,0.8822672635341335,0.6310838503418736,0.7756931595582562,15.8**2 * RBF(length_scale=4.95)
RBF,1.0,0.2,0.9912063437881902,0.8822672625242088,0.6310838540973843,0.775693162885248,15.8**2 * RBF(length_scale=4.95)
Matern_2.5,0.1,0.2,0.9938915525383304,0.8744004642938852,0.6615113681360856,0.8011897036592759,"17.6**2 * Matern(length_scale=8.09, nu=2.5)"
Matern_2.5,20.0,0.2,0.9938915525383304,0.8744004642938852,0.6615113681360856,0.8011897036592759,"17.6**2 * Matern(length_scale=8.09, nu=2.5)"
Matern_2.5,10.0,0.2,0.9938915525383304,0.8744004642938852,0.6615113681360856,0.8011897036592759,"17.6**2 * Matern(length_scale=8.09, nu=2.5)"
Matern_2.5,0.5,0.2,0.9938915525383304,0.8744004638750068,0.661511369649975,0.8011897049952721,"17.6**2 * Matern(length_scale=8.09, nu=2.5)"
Matern_2.5,1.0,0.2,0.9938915525383304,0.8744004637316043,0.6615113700159617,0.8011897054526487,"17.6**2 * Matern(length_scale=8.09, nu=2.5)"
Matern_2.5,2.0,0.2,0.9938915525383304,0.8744004636224015,0.6615113679266723,0.8011897058009468,"17.6**2 * Matern(length_scale=8.09, nu=2.5)"
Matern_2.5,5.0,0.2,0.9938915525383304,0.8744004635936466,0.6615113697525253,0.8011897058926591,"17.6**2 * Matern(length_scale=8.09, nu=2.5)"
Matern_1.5,1.0,0.001,0.9964731135392713,0.8530845516532691,0.7267819890486222,0.8665129843278487,"19.3**2 * Matern(length_scale=12.9, nu=1.5)"
Matern_1.5,20.0,0.001,0.9964731135392713,0.8530845336598265,0.7267821179495397,0.8665130373908566,"19.3**2 * Matern(length_scale=12.9, nu=1.5)"
Matern_1.5,10.0,0.001,0.9964731135392713,0.8530845336598265,0.7267821179495397,0.8665130373908566,"19.3**2 * Matern(length_scale=12.9, nu=1.5)"
Matern_1.5,0.1,0.001,0.9964731135392713,0.8530845336598265,0.7267821179495397,0.8665130373908566,"19.3**2 * Matern(length_scale=12.9, nu=1.5)"
Matern_1.5,5.0,0.001,0.9964731135392713,0.8530845267778422,0.7267821343895409,0.8665130576859599,"19.3**2 * Matern(length_scale=12.9, nu=1.5)"
Matern_1.5,0.5,0.001,0.9964731135392713,0.8530845228729439,0.7267821147688186,0.8665130692015792,"19.3**2 * Matern(length_scale=12.9, nu=1.5)"
Matern_1.5,2.0,0.001,0.9964731135392713,0.8530845121040191,0.7267821621989623,0.8665131009593421,"19.3**2 * Matern(length_scale=12.9, nu=1.5)"
